passportfrom_country_name,passportfrom_alpha_3code,New_Overall_ranking,gain-loss,gain-loss-rank,passportfrom_destinations_visafree,passportfrom_welcomed_visafree,visaFreeRatio,visafree_percent,visafree_countries_Rank,countryto_GDP_2016_billions_USD,countryto_UN_World_GDP_percent,GDP_Rank,countryto_surface_area,countryto_Surface_area_covered_percent,Surface_Rank,countryto_population_millions,countryto_UN_population_Value_percent,Population_Rank,countryto_unesco_total_sites,countryto_unesco_total_sites_percent,unesco_total_sites_Rank,passportfrom_region_name,passportfrom_sub_region_name,passportfrom_development_status,passportfrom_GDP_2016_billions_USD,passportfrom_GDP_capita_2016_USD,passportfrom_UN_World_GDP_percent,passportfrom_population_millions,passportfrom_UN_population_Value_percent,passportfrom_surface_area,passportfrom_Surface_area_covered_percent,passportfrom_unesco_total_sites,passportfrom_unesco_total_sites_percent,passportfrom_trade_import_UN,passportfrom_trade_export_UN,passportfrom_openness_index,passportfrom_unemployment_rate_UN,passportfrom_visitor_arrivals,passportfrom_tourism_expenditure
Armenia,ARM,118,20,13,62.0,134.0,0.5,0.27312775330396477,138,6989.850000000004,0.09239860667842374,125,45238.0,0.3322366005199688,88,1488.1199999999994,0.19496332941167221,128,230.0,0.1970865467009426,118,Asia,Western Asia,Developing,10.572,3615.0,0.0001397509345414131,2.93,0.00038386860950474403,30.0,0.00022032578839911282,3.0,0.002570694087403599,3218.0,1808.0,475.4067347710935,19.0,684.0,988.0
Tajikistan,TJK,133,10,26,59.0,83.0,0.7,0.2599118942731278,143,5315.594000000001,0.0702666694232622,133,33987.0,0.24960708567735496,107,1357.5599999999995,0.17785824898268263,142,204.0,0.17480719794344474,130,Asia,Central Asia,Developing,6.952,796.0,9.189826872227618e-05,9.11,0.0011935300452519514,143.0,0.0010502195913691045,2.0,0.001713796058269066,3030.0,899.0,565.1611047180668,11.7,160.0,150.0
Mozambique,MOZ,159,-16,182,59.0,199.0,0.3,0.2599118942731278,143,3592.5170000000003,0.047489368908996764,161,16469.0,0.1209515136381663,154,1203.3799999999999,0.1576586373057402,159,134.0,0.11482433590402741,171,Africa,Sub-Saharan Africa,Least Developed,10.93,379.0,0.00014448332524949348,30.53,0.003999832303133049,799.0,0.005868010164363038,1.0,0.000856898029134533,5295.0,3352.0,791.1253430924063,22.2,1718.0,114.0
Mauritania,MRT,144,-1,94,59.0,199.0,0.3,0.2599118942731278,143,3754.186000000001,0.04962646632068574,152,18874.0,0.13861429767482852,136,1252.5500000000002,0.16410055523384542,158,160.0,0.13710368466152525,141,Africa,Sub-Saharan Africa,Least Developed,4.667,1085.0,6.16929257950033e-05,4.54,0.0005947998249663951,1031.0,0.007571862927982844,2.0,0.001713796058269066,2174.0,1623.0,813.584743946861,10.2,,
Uzbekistan,UZB,131,12,23,59.0,19.0,3.1,0.2599118942731278,143,5572.126000000002,0.07365775783981326,130,34944.0,0.25663547832728667,102,1311.27,0.17179364900521693,150,212.0,0.18166238217652103,127,Asia,Central Asia,Developing,67.779,2155.0,0.0008959684631368178,32.37,0.004240896549374936,449.0,0.0032975426330400554,5.0,0.004284490145672665,12101.0,12568.0,363.9622892046209,8.2,975.0,
Sao Tome and Principe,STP,155,-12,169,59.0,57.0,1.0,0.2599118942731278,143,4011.4370000000004,0.05302705917555832,142,14835.0,0.10895110236336128,166,1312.7699999999998,0.171990168771175,149,151.0,0.12939160239931446,152,Africa,Sub-Saharan Africa,Least Developed,0.343,1715.0,4.534106181205514e-06,0.21,2.751276723412841e-05,1.0,7.344192946637094e-06,,,139.0,10.0,434.402332361516,14.6,8.0,69.0
Burkina Faso,BFA,146,2,64,58.0,70.0,0.8,0.2555066079295154,148,3678.3010000000004,0.04862334489922574,154,18572.0,0.1363963514049441,139,1418.4,0.18582909068994155,137,148.0,0.12682090831191087,155,Africa,Sub-Saharan Africa,Least Developed,11.695,627.0,0.0001545958361201122,19.75,0.002587510251781124,273.0,0.0020049646744319267,2.0,0.001713796058269066,3343.0,2520.0,501.3253527148354,4.7,274.0,
Senegal,SEN,147,2,64,57.0,136.0,0.4,0.2511013215859031,149,3610.726,0.04773007310565442,159,18316.0,0.13451623801060503,141,1414.0500000000002,0.18525918336866318,138,153.0,0.13110539845758354,149,Africa,Sub-Saharan Africa,Least Developed,14.605,948.0,0.00019306303433383828,16.29,0.002134204658304532,197.0,0.0014468060104875075,7.0,0.005998286203941731,5478.0,2640.0,555.8370421088669,10.2,900.0,
Guinea,GIN,157,-8,148,57.0,23.0,2.5,0.2511013215859031,149,3662.082,0.04840894644980016,155,16327.0,0.11990863823974383,155,1301.4099999999999,0.17050185907698592,151,150.0,0.1285347043701799,153,Africa,Sub-Saharan Africa,Least Developed,8.476,684.0,0.00011204397665276366,13.05,0.0017097219638351226,246.0,0.001806671464872725,1.0,0.000856898029134533,2122.0,1743.0,455.9933931099575,4.5,12.0,17.0
Côte d'Ivoire,CIV,144,5,46,57.0,24.0,2.4,0.2511013215859031,149,3413.5170000000003,0.045123173554956576,164,18843.0,0.13838662769348276,137,1444.44,0.1892406738269735,132,154.0,0.13196229648671806,148,Africa,Sub-Saharan Africa,Developing,36.768,1552.0,0.00048603503227569774,24.91,0.003263538246676851,322.0,0.002364830128817144,4.0,0.003427592116538132,7675.0,10054.0,482.1855961705831,3.1,252.0,
